Name,street_address,city,state,zip_code,post_code,latitude,longitude,green,idx,coords
Best Western Plus Dragon Gate Inn,818 North Hill Street,Los Angeles,California,90012,90012-2395,34.0630623,-118.238797,0,9,"(34.063062299999999, -118.23879699999999)"
Best Western Plus Glendale,2911 Colorado Boulevard,Los Angeles,California,90041,90041-1011,34.143177,-118.2282888,0,10,"(34.143177000000001, -118.2282888)"
Travelodge Anaheim International,2060 S Harbor Blvd,Anaheim,California,92802,92802-3514,33.7969635,-117.9141942,0,90,"(33.796963500000004, -117.9141942)"
Days Inn Anaheim Maingate,2200 S Harbor Blvd,Anaheim,California,92802,92802-3517,33.7927985,-117.9143274,0,24,"(33.792798499999996, -117.91432739999999)"
Hilton Garden Inn Los Angeles Hollywood,2005 North Highland Avenue,Los Angeles,California,90068,90068-3238,34.1066257,-118.3378393,0,41,"(34.106625700000002, -118.3378393)"
Extended Stay America Orange County Anaheim Convention Center,1742 S Clementine St,Anaheim,California,92802,92802-2902,33.8047821,-117.9087433,0,34,"(33.804782099999997, -117.9087433)"
Clarion Hotel Anaheim Resort,616 W Convention Way,Anaheim,California,92802,92802-3401,33.7991527,-117.9163006,0,17,"(33.7991527, -117.9163006)"
Motel 6 Anaheim Maingate,100 W Disney Way,Anaheim,California,92802,92802-2900,33.8056738,-117.907613,0,59,"(33.805673799999994, -117.90761299999998)"
Residence Inn Anaheim Maingate,1700 S Clementine St,Anaheim,California,92802,92802-2902,33.8060092,-117.9091117,0,72,"(33.806009199999998, -117.90911170000001)"
Quality Inn & Suites Anaheim @ The Park,1166 W Katella Ave,Anaheim,California,92802,92802-2805,33.8027062,-117.9264105,0,65,"(33.802706200000003, -117.9264105)"
Quality Inn & Suites Anaheim Resort,1441 S Manchester Ave,Anaheim,California,92802,92802-2905,33.8117694,-117.9123359,0,66,"(33.811769399999996, -117.91233590000002)"
Grand Legacy @ The Park,1650 S Harbor Blvd,Anaheim,California,92802,92802-2314,33.8076069,-117.9149118,0,37,"(33.807606899999996, -117.9149118)"
Super 8 Anaheim Disneyland Drive,915 S Disneyland Dr,Anaheim,California,92802,92802-1842,33.819178,-117.923204,0,80,"(33.819178000000001, -117.923204)"
Travelodge Anaheim,1057 W Ball Rd,Anaheim,California,92802,92802-1841,33.8182442,-117.9230684,0,89,"(33.818244200000002, -117.92306840000002)"
Hampton Inn Suites Los Angeles Sherman Oaks,5638 Sepulveda Blvd,Los Angeles,California,91411,91411-2928,34.1734086,-118.4657122,0,38,"(34.173408600000002, -118.4657122)"
Best Western Plus Hollywood Hills Hotel,6141 Franklin Ave,Los Angeles,California,90028,90028-5205,34.1054395,-118.3236787,0,11,"(34.105439500000003, -118.3236787)"
Holiday Inn Express & Suites Hollywood Walk Of Fame,1921 North Highland Avenue,Los Angeles,California,90068,90068-3236,34.1060203,-118.3380219,0,44,"(34.106020299999997, -118.3380219)"
The Orlando Hotel,8384 W 3rd St,Los Angeles,California,90048,90048-4311,34.0727833,-118.3729511,0,87,"(34.072783299999998, -118.37295109999999)"
Econo Lodge Long Beach,3624 E Pacific Coast Hwy,Long Beach,California,90804,90804-2015,33.7894881,-118.1494569,0,32,"(33.7894881, -118.14945690000002)"
La Quinta Inns & Suites Anaheim,1752 S Clementine St,Anaheim,California,92802,92802-2902,33.804442,-117.9094757,0,54,"(33.804442000000002, -117.9094757)"
Anaheim Del Sol Inn,1604 S Harbor Blvd,Anaheim,California,92802,92802-2314,33.8084224,-117.9136638,0,0,"(33.808422399999998, -117.91366380000001)"
Best Western Courtesy Inn,1070 West Ball Road,Anaheim,California,92802,92802-1804,33.8176566,-117.9234814,0,4,"(33.817656599999999, -117.9234814)"
Anaheim Majestic Garden Hotel,900 South Disneyland Drive,Anaheim,California,92802,92802-1844,33.8193494,-117.9211632,0,2,"(33.8193494, -117.9211632)"
Comfort Inn & Suites Anaheim,300 E Katella Way,Anaheim,California,92802,92802-3714,33.8024277,-117.9044855,0,18,"(33.802427700000003, -117.90448549999999)"
Hilton Anaheim,777 W Convention Way,Anaheim,California,92802,92802-3425,33.8000919,-117.9183929,0,39,"(33.800091899999998, -117.9183929)"
Holiday Inn Anaheim Resort Area,1915 S Manchester Ave,Anaheim,California,92802,92802-3802,33.800291,-117.9009885,0,43,"(33.800290999999994, -117.9009885)"
Best Western Plus Raffles Inn & Suites,2040 S Harbor Blvd,Anaheim,California,92802,92802-3514,33.7973473,-117.9141443,0,15,"(33.797347299999998, -117.9141443)"
Disney's Paradise Pier Hotel,1717 S Disneyland Dr,Anaheim,California,92802,92802-2308,33.8063709,-117.9244035,0,28,"(33.806370899999997, -117.9244035)"
Holiday Inn & Suites Anaheim Disneyland,1240 South Walnut,Anaheim,California,92802,92802-2241,33.8166377,-117.9279666,0,42,"(33.816637700000001, -117.92796659999999)"
Cortona Inn & Suites,2029 S Harbor Blvd,Anaheim,California,92802,92802-3513,33.7982864,-117.9164257,0,21,"(33.798286400000002, -117.9164257)"
Portofino Inn & Suites Anaheim,1831 S Harbor Blvd,Anaheim,California,92802,92802-3509,33.8025285,-117.9159752,0,64,"(33.802528499999994, -117.91597520000001)"
Disney's Grand Californian Hotel,1600 S Disneyland Dr,Anaheim,California,92802,92802-2317,33.8079292,-117.9222359,0,27,"(33.807929200000004, -117.92223590000002)"
Super 8 Anaheim Near Disneyland,415 West Katella Avenue,Anaheim,California,92802,92802-3607,33.804495,-117.912936,0,81,"(33.804495000000003, -117.91293600000002)"
Motel 6 Los Angeles Long Beach,5665 E 7th St,Long Beach,California,90804,90804-4430,33.7758114,-118.1220745,0,62,"(33.775811400000002, -118.12207450000001)"
Holiday Inn Long Beach Airport ,2640 N Lakewood Blvd,Long Beach,California,90815,90815-1715,33.8040448,-118.1416632,0,46,"(33.8040448, -118.1416632)"
Holiday Inn Long Beach Downtown Area,1133 Atlantic Ave,Long Beach,California,90813,90813,33.7816736,-118.1854956,0,47,"(33.781673600000005, -118.1854956)"
Residence Inn Long Beach,4111 E Willow St,Long Beach,California,90815,90815-1740,33.8038826,-118.1450936,0,73,"(33.803882600000001, -118.1450936)"
Rodeway Inn Long Beach,50 Atlantic Ave,Long Beach,California,90802,90802-5202,33.7671594,-118.184676,0,77,"(33.767159399999997, -118.184676)"
Courtyard Long Beach Downtown,500 East First Street,Long Beach,California,90802,90802-5024,33.7677694,-118.1858612,0,23,"(33.767769399999999, -118.18586119999999)"
Residence Inn Long Beach Downtown,600 Queensway Drive,Long Beach,California,90802,90802-6341,33.7587747,-118.2012616,0,74,"(33.758774700000004, -118.2012616)"
Super 8 Long Beach,4201 E Pacific Coast Hwy,Long Beach,California,90804,90804-2113,33.7904336,-118.143766,0,82,"(33.7904336, -118.14376599999999)"
Hotel Queen Mary,1126 Queens Hwy,Long Beach,California,90802,90802-6331,33.7528427,-118.1897,0,50,"(33.752842700000002, -118.1897)"
Westin Long Beach,333 E Ocean Blvd,Long Beach,California,90802,90802-4827,33.767451,-118.188244,0,93,"(33.767451000000001, -118.188244)"
Best Western Plus Hotel @ The Convention Center,517 E 1st St,Long Beach,California,90802,90802-5025,33.768403,-118.1860825,0,12,"(33.768402999999999, -118.1860825)"
Doubletree Hotel Maya,700 Queensway Dr,Long Beach,California,90802,90802-6343,33.7567328,-118.1987124,0,31,"(33.756732799999995, -118.19871240000001)"
Ramada Plaza Anaheim,515 W Katella Ave,Anaheim,California,92802,92802-3609,33.8037363,-117.9143274,0,69,"(33.803736299999997, -117.91432739999999)"
Best Western Plus Stovall's Inn,1110 W Katella Ave,Anaheim,California,92802,92802-2805,33.8023622,-117.9245043,0,16,"(33.802362200000005, -117.92450430000001)"
Best Western Plus Pavilions,1176 W. Katella Ave,Anaheim,California,92802,92802-2895,33.8024759,-117.9277607,0,14,"(33.802475899999997, -117.92776070000001)"
Best Western Plus Park Place Inn Mini Suites,1544 S Harbor Blvd,Anaheim,California,92802,92802-2312,33.8095488,-117.9142359,0,13,"(33.809548799999995, -117.91423590000002)"
Disney's Disneyland Hotel,1150 West Magic Way,Anaheim,California,92802,92802-2297,33.8089017,-117.9270524,0,26,"(33.808901700000007, -117.92705239999999)"
Best Western Plus Anaheim Inn,1630 South Harbor Boulevard,Anaheim,California,92802,92802-2314,33.8082687,-117.9143732,0,7,"(33.808268700000006, -117.91437320000001)"
Howard Johnson Los Angeles Anaheim Area,1380 South Harbor Boulevard,Anaheim,California,92802,92802-2310,33.8139992,-117.9145334,0,51,"(33.813999200000005, -117.9145334)"
DoubleTree Suites Anaheim Resort Convention Center,2085 S Harbor Blvd,Anaheim,California,92802,92802-3513,33.796379,-117.915851,0,30,"(33.796378999999995, -117.915851)"
Hotel Indigo Anaheim Maingate,435 West Katella Avenue,Anaheim,California,92802,92802-3607,33.8036719,-117.9136126,0,49,"(33.803671899999998, -117.91361259999999)"
The Hollywood Roosevelt,7000 Hollywood Boulevard,Los Angeles,California,90028,90028-6003,34.1012777,-118.3416128,0,84,"(34.101277699999997, -118.34161280000001)"
Omni Los Angeles Hotel,251 S Olive St,Los Angeles,California,90012,90012-3002,34.0525457,-118.2505609,0,63,"(34.052545700000003, -118.25056090000001)"
Four Seasons Hotel Los Angeles,300 S Doheny Dr,Los Angeles,California,90048,90048-3704,34.0621234,-118.3896124,0,36,"(34.062123399999997, -118.3896124)"
Motel 6 Lompoc,1521 North H Street,Lompoc,California,93436,93436-2818,34.6631786,-120.4587194,0,60,"(34.663178600000002, -120.45871940000001)"
Holiday Inn Express Lompoc,1417 N H St,Lompoc,California,93436,93436-3309,34.6624894,-120.4584009,0,45,"(34.662489399999998, -120.4584009)"
